timestamp,mq2,mq135,mq7,sound,flame,temperature,humidity,liquid,vibration,tilt,risk_score,hazard_level
2026-02-26 22:41:00,27.35,337.0,34.43,50.93,1,23.1,79.4,3.48,0,1.09,19.02071152883017,Safe
2026-02-26 22:41:00,33.94,402.69,42.74,52.98,1,23.2,79.3,6.62,0,1.29,23.31555178807843,Safe
2026-02-26 22:41:00,32.48,410.26,46.89,52.98,1,23.2,79.0,5.16,0,1.38,24.008395834228338,Safe
2026-02-26 22:41:00,31.99,405.86,46.89,50.58,1,23.2,79.4,5.25,0,0.73,23.74785914991728,Safe
2026-02-26 22:41:00,35.16,402.2,47.62,50.17,1,23.2,79.5,5.68,0,1.06,23.977679514382142,Safe
2026-02-26 22:41:00,38.83,394.87,47.62,52.72,1,23.3,79.6,5.16,9604,1.07,24.2694887533603,Safe
2026-02-26 22:41:00,36.39,392.19,46.89,51.96,1,23.3,79.2,5.25,105589,0.72,25.547864886372206,Safe
2026-02-26 22:41:00,31.26,392.19,46.64,52.04,1,23.3,78.7,5.25,0,1.19,23.614439003806073,Safe
2026-02-26 22:41:00,10.01,371.18,41.27,47.09,1,23.3,78.9,5.13,0,1.41,21.32905655246628,Safe
2026-02-26 22:41:00,33.21,383.64,46.4,51.25,1,23.3,78.5,5.08,0,1.11,23.349406939574273,Safe
2026-02-26 22:42:00,23.69,365.81,39.07,47.27,1,23.3,77.9,4.54,0,1.18,21.21525328182128,Safe
2026-02-26 22:42:00,35.41,349.21,45.67,53.45,1,23.3,77.5,7.99,887643,1.35,37.62011436480966,Safe
2026-02-26 22:42:00,35.9,347.01,45.18,51.78,1,23.2,77.6,7.99,887098,1.18,37.17448497421358,Safe
2026-02-26 22:42:00,25.64,335.53,38.34,48.5,1,23.2,77.5,3.79,851861,1.19,34.26240129492782,Safe
2026-02-26 22:42:00,595.36,1000.0,137.48,46.1,1,23.2,77.6,4.13,627942,1.21,88.45299110412115,Critical
2026-02-26 22:42:00,277.41,739.19,120.63,52.51,1,23.2,77.5,4.41,259805,1.21,59.51087747589349,Warning
2026-02-26 22:42:00,175.82,776.07,116.24,51.87,1,23.2,77.4,5.68,351762,0.94,57.793709521474476,Warning
2026-02-26 22:42:00,169.47,633.46,104.27,52.31,1,23.1,77.5,7.03,5609,1.13,45.26321545086754,Warning
2026-02-26 22:42:00,151.89,626.86,96.95,51.66,1,23.1,77.5,3.98,0,1.01,42.760962353582634,Warning
2026-02-26 22:42:00,177.53,591.45,94.99,52.34,1,23.1,77.5,3.64,0,1.32,42.324171590292956,Warning
2026-02-26 22:42:00,160.2,528.69,84.49,47.68,1,23.0,77.5,4.06,0,1.13,37.777387079993865,Safe
2026-02-26 22:42:00,163.61,520.15,88.64,52.98,1,23.0,77.5,4.39,0,-4.67,37.31049327583413,Safe
2026-02-26 22:43:00,140.9,514.53,83.52,52.51,1,23.0,77.7,4.05,0,6.58,37.42394015642462,Safe
2026-02-26 22:43:00,130.65,488.16,74.73,47.27,1,23.0,77.8,4.46,0,14.42,36.25269559459524,Safe
2026-02-26 22:43:00,138.22,466.67,73.26,47.36,1,23.0,77.7,4.05,0,23.47,37.19391655671823,Safe
2026-02-26 22:43:00,116.73,460.56,78.14,52.95,1,22.9,77.8,4.06,0,1.22,32.74693908618003,Safe
2026-02-26 22:43:00,119.41,452.26,74.73,52.48,1,22.9,77.8,4.06,0,1.83,32.15233008493807,Safe
2026-02-26 22:43:00,103.3,451.28,74.48,53.07,1,22.9,77.9,4.41,0,1.53,31.46373377891807,Safe
2026-02-26 22:43:00,105.98,441.27,73.5,52.86,1,22.9,78.4,4.06,0,1.39,31.031020592015647,Safe
2026-02-26 22:43:00,106.23,441.51,70.57,52.89,1,22.9,78.6,4.49,0,1.86,30.71223214357433,Safe
2026-02-26 22:43:00,100.37,433.94,69.11,53.01,1,22.9,78.7,4.06,0,1.61,29.92929488429802,Safe
2026-02-26 22:43:00,103.3,425.89,67.89,52.25,1,22.8,78.7,7.99,0,1.38,29.726040042998026,Safe
2026-02-26 22:43:00,85.23,429.3,66.67,52.37,1,22.8,78.7,7.99,0,1.75,29.024275323529253,Safe
2026-02-26 22:43:00,98.17,421.25,66.18,52.13,1,22.8,78.7,7.99,0,1.47,29.131513263070772,Safe
2026-02-26 22:43:00,95.97,417.83,65.93,51.9,1,22.8,78.6,7.99,0,1.65,28.934441001755847,Safe
2026-02-26 22:43:00,88.89,410.74,64.22,52.78,1,22.8,78.6,7.99,0,1.93,28.224177980381214,Safe
2026-02-26 22:44:00,83.76,406.35,62.76,51.99,1,22.8,78.5,7.99,0,1.62,27.606335553154903,Safe
2026-02-26 22:44:00,84.25,403.17,63.74,53.19,1,22.7,78.4,7.99,0,1.41,27.3673552384813,Safe
2026-02-26 22:44:00,69.11,384.86,55.19,46.8,1,22.7,78.5,7.99,0,1.67,24.90786706831354,Safe
2026-02-26 22:44:00,78.88,391.94,58.36,51.96,1,22.7,78.7,7.99,0,1.65,25.998488457831087,Safe
2026-02-26 22:44:00,72.04,394.63,57.88,51.6,1,22.6,78.7,7.99,0,1.33,25.413976893953304,Safe
2026-02-26 22:44:00,70.33,386.57,57.39,52.78,1,22.6,78.7,7.99,0,1.56,25.061371661459347,Safe
2026-02-26 22:44:00,71.31,382.66,54.46,51.78,1,22.5,78.8,7.99,0,1.67,24.249715159830785,Safe
2026-02-26 22:45:00,73.99,384.62,54.7,52.25,1,22.5,79.0,7.99,0,1.61,24.439086377083846,Safe
